Pairs,Cosine Distance
"(15, 17)",0.007613911485467468
"(15, 18)",0.008236650487105089
"(15, 19)",0.009394237363924056
"(16, 16)",0.006690830647174768
"(16, 17)",0.007889047321418931
"(16, 18)",0.007709840428408917
"(16, 19)",0.009515918838550191
"(17, 17)",0.0073900018864770595
"(17, 18)",0.007573198102574846
"(17, 19)",0.008107323602965039
"(18, 18)",0.011224701072628848
"(18, 19)",0.008199729219144953
"(19, 19)",0.005245773706288149
