Pairs,Cosine Distance
"(5, 80)",0.009582860778999542
"(5, 81)",0.0090237521140438
"(5, 82)",0.010534320231695123
"(5, 83)",0.009650782719310918
"(5, 84)",0.01010487956399479
"(5, 85)",0.009051851316052966
"(5, 86)",0.007130887873675968
"(5, 87)",0.010986000001301566
"(5, 88)",0.010275905354569839
"(5, 89)",0.00740353445009565
"(6, 6)",0.009927514013232244
"(6, 7)",0.010450343331877724
"(6, 8)",0.008599280628129018
"(6, 9)",0.010600357339021664
"(6, 10)",0.008640309681067791
"(6, 11)",0.010660617322896348
"(6, 12)",0.013504957108538216
"(6, 13)",0.008603719013513372
"(6, 14)",0.009235269128346102
"(6, 15)",0.011290262389668944
"(6, 16)",0.008729128566695101
"(6, 17)",0.008438162186117981
"(6, 18)",0.010831377938301094
"(6, 19)",0.013692827748058954
"(6, 20)",0.008293210114845337
"(6, 21)",0.010147660528380039
"(6, 22)",0.008184651599967462
"(6, 23)",0.012157035489055147
"(6, 24)",0.01097554691100107
"(6, 25)",0.008212829044314446
"(6, 26)",0.011962420109148284
"(6, 27)",0.011207719025728015
"(6, 28)",0.010829180715976128
"(6, 29)",0.010428502795509111
"(6, 30)",0.009282777925359706
"(6, 31)",0.008759167887645887
"(6, 32)",0.00914290358258185
"(6, 33)",0.008108210663872089
"(6, 34)",0.012203852923060152
"(6, 35)",0.008780497015202327
"(6, 36)",0.01239332829172657
"(6, 37)",0.009299235381939216
"(6, 38)",0.012098230060000542
"(6, 39)",0.009303847737145038
"(6, 40)",0.010158598756907267
"(6, 41)",0.011245148231712448
"(6, 42)",0.011516639705350487
"(6, 43)",0.012356129092288882
"(6, 44)",0.009778974127071993
"(6, 45)",0.01222199856645426
"(6, 46)",0.009965232861589225
"(6, 47)",0.006708651390276681
"(6, 48)",0.007112495609181233
"(6, 49)",0.011986234800164312
"(6, 50)",0.010760989369897967
"(6, 51)",0.012244131171563203
"(6, 52)",0.014081158498104032
"(6, 53)",0.010544093172008592
"(6, 54)",0.0076990970307113165
"(6, 55)",0.010814351589000858
"(6, 56)",0.010471214527077086
"(6, 57)",0.009105215210675236
"(6, 58)",0.011186905751175565
"(6, 59)",0.009132519413427425
"(6, 60)",0.010142170777824002
"(6, 61)",0.010146145873362468
"(6, 62)",0.00828478083528643
"(6, 63)",0.009217951047582393
"(6, 64)",0.009468857716106635
"(6, 65)",0.008385006167259852
"(6, 66)",0.010156004252044477
"(6, 67)",0.009614039994350461
"(6, 68)",0.013945986693517454
"(6, 69)",0.01191095079467654
"(6, 70)",0.010117191709693569
